Bacteria,Country,Resistance,Tested_isolates,PeriodFrom,PeriodTill,Antibiotics,lat,long
Neisseria Gonorrhoeae,Cameroon,0,79,2004,2005,3rdGen Cephalosporinsa,3.8667,11.5167
Neisseria Gonorrhoeae,Central African Republic,0,1,2013,2013,3rdGen Cephalosporinsa,4.3667,18.5833
Neisseria Gonorrhoeae,Central African Republic,0,39,2004,2005,3rdGen Cephalosporinsa,4.3667,18.5833
Neisseria Gonorrhoeae,Guinea-Bissau,0,6,2013,2013,3rdGen Cephalosporinsa,11.85,-15.5667
Neisseria Gonorrhoeae,Kenya,0,168,2002,2009,3rdGen Cephalosporinsa,-1.2667,36.8
Neisseria Gonorrhoeae,Lesotho,0,1,2012,2012,3rdGen Cephalosporinsa,-29.4667,27.9333
Neisseria Gonorrhoeae,Madagascar,0,126,2004,2005,3rdGen Cephalosporinsa,-20,47
Neisseria Gonorrhoeae,Malawi,0,0,2013,2013,3rdGen Cephalosporinsa,-13.95,33.7
Neisseria Gonorrhoeae,Mauritania,0,2,2013,2013,3rdGen Cephalosporinsa,18.15,-15.9667
Neisseria Gonorrhoeae,Mauritius,0,24,2012,2012,3rdGen Cephalosporinsa,-20.2,57.5
Neisseria Gonorrhoeae,Mozambique,0,22,2009,2009,3rdGen Cephalosporinsa,-25.95,32.5833
Neisseria Gonorrhoeae,Namibia,0,3,2012,2012,3rdGen Cephalosporinsa,-22.57,17.0861
Neisseria Gonorrhoeae,South Africa,0,120,2012,2012,3rdGen Cephalosporinsa,-30,25
Neisseria Gonorrhoeae,Uganda,0,151,2007,2011,3rdGen Cephalosporinsa,1.0667,31.8833
Neisseria Gonorrhoeae,Zimbabwe,12.3,57,2012,2012,3rdGen Cephalosporinsa,-17.8333,31.05
Neisseria Gonorrhoeae,Argentina,0,316,2010,2010,3rdGen Cephalosporinsa,-34.6,-58.3833
Neisseria Gonorrhoeae,Canada,31,155,2010,2010,3rdGen Cephalosporinsa,45.4,-75.6667
Neisseria Gonorrhoeae,Chile,0,508,2010,2010,3rdGen Cephalosporinsa,-33.4333,-70.6667
Neisseria Gonorrhoeae,Dominican Republic,0,3,2013,2013,3rdGen Cephalosporinsa,19,-70.6667
Neisseria Gonorrhoeae,Ecuador,0,6,2010,2010,3rdGen Cephalosporinsa,-0.15,-78.35
Neisseria Gonorrhoeae,El Salvador,0,14,2010,2010,3rdGen Cephalosporinsa,13.6667,-89.1667
Neisseria Gonorrhoeae,Panama,0,1,2010,2010,3rdGen Cephalosporinsa,8.9833,-79.5167
Neisseria Gonorrhoeae,Panama,0,10,2011,2012,3rdGen Cephalosporinsa,8.9833,-79.5167
Neisseria Gonorrhoeae,Paraguay,0,13,2010,2010,3rdGen Cephalosporinsa,-25.266,-57.6667
Neisseria Gonorrhoeae,United States,1.4,5467,2011,2011,3rdGen Cephalosporinsa,38.8833,-77.0167
Neisseria Gonorrhoeae,United States,0.4,5467,2011,2011,3rdGen Cephalosporinsa,38.8833,-77.0167
Neisseria Gonorrhoeae,Venezuela,0,14,2010,2010,3rdGen Cephalosporinsa,10.5,-66.9667
Neisseria Gonorrhoeae,International,7,110,2000,2009,3rdGen Cephalosporinsa,,
Neisseria Gonorrhoeae,Bahrain,0,41,2012,2012,3rdGen Cephalosporinsa,26.0275,50.55
Neisseria Gonorrhoeae,Morocco,0,72,2009,2009,3rdGen Cephalosporinsa,32,-6
Neisseria Gonorrhoeae,Pakistan,0,106,2007,2009,3rdGen Cephalosporinsa,33.6667,73.1667
Neisseria Gonorrhoeae,Saudi Arabia,0,8,2005,2006,3rdGen Cephalosporinsa,24,45
Neisseria Gonorrhoeae,Austria,13.2,106,2011,2011,3rdGen Cephalosporinsa,48.2,16.35
Neisseria Gonorrhoeae,Belarus,0,80,2009,2009,3rdGen Cephalosporinsa,53.9167,27.55
Neisseria Gonorrhoeae,Belgium,0.9,110,2011,2011,3rdGen Cephalosporinsa,50.85,4.35
